245592_at	At4g14540
245593_at	At4g14550
245594_at	At4g14570
245595_at	At4g14170
245596_at	At4g14180
245597_at	At4g14190
245598_at	At4g14200
245599_at	At4g14220
245600_at	At4g14230
245601_at	At4g14240
245602_at	At4g14270
245603_at	At4g14280
245604_at	At4g14290
245605_at	At4g14300
245606_at	At4g14310
245607_at	At4g14330
245608_at	At4g14350
245609_at	At4g14370
245610_at	At4g14380
245611_at	At4g14390
245612_at	At4g14440
245613_at	At4g14450
245614_at	At4g14460
245615_at	At4g14470
245616_at	At4g14480
245617_at	At4g14490
245618_at	At4g14510
245619_at	At4g13990
245620_at	At4g14050
245621_at	At4g14070
245622_at	At4g14080
245623_s_at	At4g14103
245624_at	At4g14090
245625_at	At4g14160
245626_at	At1g56700
245627_at	At1g56600
245628_at	At1g56650
245629_at	At1g56580
245630_at	At1g25360
245631_at	At1g25350
245632_at	At1g25290
245633_at	At1g25280
245634_at	At1g25270
245635_at	At1g25250
245636_at	At1g25240
245637_at	At1g25230
245638_s_at	At1g24996
245639_at	At1g25260
245640_at	At1g25330
245641_at	At1g25370
245642_at	At1g25275
245643_at	At1g25340
245644_at	At1g25320
245645_at	At1g24764
245646_x_at	At1g25025
245647_at	At1g24678
245648_at	At1g24938
245649_at	At1g24706
245650_at	At1g24735
245651_s_at	At1g24793
245652_at	At4g13960
245653_at	At4g13985
245654_at	At1g56540
245655_at	At1g56530
245656_at	At1g56620
245657_at	At1g56720
245658_at	At1g28270
245659_at	At1g28260
245660_at	At1g28240
245661_at	At1g28220
245662_at	At1g28190
245663_at	At1g28170
245664_at	At1g28327
245665_at	At1g28250
245666_at	At1g28280
245667_at	At1g28200
245668_at	At1g28330
245669_at	At1g28300
245670_at	At1g28210
245671_at	At1g28230
245672_at	At1g56710
245673_at	At1g56690
245674_at	At1g56680
245675_at	At1g56675
245676_at	At1g56670
245677_at	At1g56660
245678_at	At1g56610
245679_at	At1g56590
245680_at	At1g56570
245681_at	At1g56560
245682_at	At5g08750
245683_at	At5g22030
245684_at	At5g22000
245685_at	At5g22220
245686_at	At5g22060
245687_at	At1g28320
245688_at	At1g28290
245689_at	At5g04120
245690_at	At5g04230
245691_at	At5g04240
245692_at	At5g04150
245693_at	At5g04260
245694_at	At5g04170
245695_at	At5g04270
245696_at	At5g04190
245697_at	At5g04200
245698_at	At5g04160
245699_at	At5g04250
245700_at	At5g04180
245701_at	At5g04140
245702_at	At5g04220
245703_at	At5g04380
245704_at	At5g04290
245705_at	At5g04390
245706_at	At5g04300
245707_at	At5g04400
245708_at	At5g04310
245709_at	At5g04320
245710_at	At5g04330
245711_at	At5g04340
245712_at	At5g04360
245713_at	At5g04370
245714_at	At5g04280
245715_s_at	At5g08690
245716_at	At5g08740
245717_at	At5g33390
245718_at	At5g04100
245719_at	At5g04110
245720_at	At5g04210
245721_s_at	At1g73460
245722_at	At1g73430
245723_at	At1g73400
245724_at	At1g73390
245725_at	At1g73370
245726_at	At1g73360
245727_at	At1g73350
245728_at	At1g73340
