"ID_REF"	"GSM78332"	"GSM78333"	"GSM78334"	"GSM78335"	"GSM78336"	"GSM78337"	"GSM78338"	"GSM78339"	"GSM78340"	"GSM78341"	"GSM78342"	"GSM78343"
"245896_at"	266.1	293.6	240.6	324.2	358.2	300.3	171.7	348.2	213.5	196.6	254.8	242.4
"245897_at"	442.4	290.5	296.7	371.8	267.6	307	363.4	273.7	320.3	336.5	347	314.7
"245898_at"	137.6	145.1	150.6	127.2	133.2	156.8	164.4	142.6	189.3	160.5	165.4	153.9
"245899_at"	357.6	269.5	341.4	360.2	332.4	286.1	295.2	297.7	296.6	385.9	268.5	273.5
"245900_at"	567.8	606	608.9	580.6	597.2	604.5	549.5	560.8	551	515.3	534.2	569.3
"245901_at"	341.3	272.6	213.8	269.4	238.9	229.7	625.5	449	503	565.3	488.8	438.8
"245902_at"	72.9	52.5	104.6	71	85.6	109.1	78.4	85.2	72.1	74.3	33.9	83.6
"245903_at"	142.1	99.6	114.6	113.5	132.8	111.1	205.5	131.8	177.7	197.7	145.1	227.9
"245904_at"	408.3	330.9	302.3	321.2	312.2	287.8	1388.5	990.8	1217.2	1217.1	1523.7	1128.6
"245905_at"	1846.1	2168.1	2309	1773.1	2303.2	2757.7	2120.5	2147.9	1950.9	2116.7	2571.4	2728.8
"245906_at"	849.4	1701.1	1733.6	1179.4	1374.2	1283.7	732.5	1296.1	1262.7	712.1	828.4	577.8
"245907_at"	2.9	4.9	10.5	16.7	6.3	9.3	18.5	15.9	2.8	2.9	2.3	11
"245908_at"	2.4	4	4.1	12.1	6.8	5	2.9	3.1	3.2	11.4	11.5	12.9
"245909_at"	191.3	317	259.9	219.4	360.2	337.1	156.9	257.2	163.8	176.4	266.4	280.7
"245910_at"	781.5	668.6	408.8	516.9	509.8	458.9	703.9	512.7	515.2	523	671.1	564
"245911_at"	2210.4	1949.3	1962.4	2077.2	2041.1	1768.8	1865.4	1583.9	1789.3	1553.5	1826.8	1872.8
"245912_at"	1075.1	1110.6	1052.3	949.8	1000.7	915.3	858.7	713.6	961.5	946.3	848.1	871.4
"245913_at"	2173	1684.1	2320.5	2337.9	1969.5	2128.4	2532.1	2176.2	3323.7	2958.3	2806.3	3098.3
"245914_at"	415.9	637.7	653	539.1	651.2	687.3	434.8	618.5	643.5	354	570.2	551.8
"245915_s_at"	5076	7032	5211.2	5938.9	6418.6	5284.9	4213.7	5056.9	3982.9	4283.8	4528.9	3943.8
"245916_at"	23.7	25.8	35.4	34	46.4	37.2	18.7	34.5	30.5	33.2	7.6	36.5
"245917_at"	687.3	779	645.4	671.3	629.1	679.3	478.3	614.3	533.3	550.1	669.4	551.6
"245918_at"	2.1	1.2	3	1.9	5.5	3.1	2.1	2.9	1.9	4.2	1.6	2.9
"245919_at"	13.7	6.7	10.6	19.8	26.6	14.3	13.2	23.5	5.5	20.3	14.4	26.3
"245920_at"	38.9	42.6	40	49.4	43.6	38.2	48.2	43.1	38.2	49	28	36.2
"245921_at"	59.7	45.3	69.3	56.2	100.1	72.5	77.1	66.4	70.7	90.7	49	77.5
"245922_at"	1.3	5	1.5	0.7	1.2	0.7	0.3	11.1	0.7	13.9	1.1	6.7
"245923_at"	5.9	27.5	32.2	3.1	21.8	17.9	40.5	26.3	24	28.1	23.4	28
"245924_at"	2578.2	2000.1	2299.9	2404.6	1720.3	2211.1	2775.5	1557.6	2439.1	2184.2	1389.8	1340.9
"245925_at"	542.9	699.7	755.3	635.3	568.9	627.6	296.8	268	245.6	231.8	240.2	208.6
"245926_at"	273.6	267.7	263.1	285.4	217.1	250.2	211.1	200.7	221.7	230.5	239.2	225.3
"245927_at"	67.7	100.1	49	38.3	32	67.7	37.5	39.7	17.7	80.7	15.9	20.2
"245928_s_at"	195.8	122.1	106.1	226.1	139.8	90.8	616.1	325.6	409.8	314.9	413.5	179
"245929_at"	489.7	361	352.9	486.4	373	317.6	425.6	367.3	564.2	521.9	491.2	396.5
"245930_at"	282.3	525	471.4	487.4	501.9	519	277	506.3	393.9	280.9	287.9	339.9
"245931_at"	21.7	17.9	30.6	21.9	35.2	38.6	47.5	36.4	42.4	32.6	32.3	35.5
"245932_at"	169.7	124.9	150.1	170.9	131.2	140.5	166.1	106.3	162.1	170	130.8	198.5
"245933_at"	130	190.5	173.9	123.9	192.5	177.9	118.2	161.6	168.6	109.5	128.4	110.3
"245934_at"	1326	1162.5	941.7	926.8	1220.2	948.8	1071.8	790.3	662.4	905.8	929.8	990.8
"245935_at"	152.2	145.7	180.9	146.6	166.3	178	164.1	131.9	167.8	150	135.5	150.3
"245936_at"	376.8	320.6	502.6	414.4	329.1	431.9	451.5	522.5	579.4	595.4	361.4	444
"245937_at"	1312.7	1869.8	1874.8	1620.8	1780.2	2040.2	1191.3	1561.7	1591.1	1336.6	1494.7	1572.1
"245938_at"	764.9	753.2	861.9	837.2	810.3	939.3	647	848	772.6	746.1	774.4	796.7
"245939_at"	8607.4	9936.9	9642	8250.8	9251.6	8660.9	8423.2	9107.3	8157.3	8696.7	9581.9	8453.2
"245940_at"	341.8	270.2	418.8	538.1	420.9	329.9	236.8	308.5	444.1	312	270.7	302.2
"245941_at"	1411.2	2054	1707.4	1278.7	1807	1748.9	803.8	953.4	952.9	638.3	1292.5	1172.3
"245942_at"	27.9	18.9	33.4	22.1	29.4	21.5	24.7	17	19.4	29.9	38.3	26.1
"245943_at"	234.5	281.7	355.9	248.9	373.5	301.7	332.7	289.4	362.9	301.2	247.6	310.9
"245944_at"	284.6	150.9	179.5	290.6	199.3	208.9	152.2	153.5	157.5	162.3	114.1	111.4
"245945_at"	3.8	2.6	3.8	4.3	2.6	4	2	2.9	8.1	6.8	1.5	3.1
"245946_at"	83.8	73.6	17.7	22.3	18.3	55.6	45.8	41.1	70.6	21	67.3	60.6
"245947_at"	317.7	394.3	477.8	309	506.5	434.5	355.1	506.9	454.3	368.5	491.4	366.9
"245948_at"	1589.3	1826.9	1925.1	1415.8	1388.3	1786.4	1868.7	1780.6	2070.7	1426	1571.2	1479.6
"245949_at"	8991.3	11257.6	11903.3	9409.5	11678.2	11700.9	8022.7	11099.2	9097.8	9157.3	11252.5	9998.3
"245950_at"	290.9	273.9	297.9	328.3	276.3	392.4	248.4	295	323.8	253.6	290.9	284.9
"245951_at"	2987.7	3617.4	3012.9	3876.1	3955.3	3870.1	3481.1	3338.8	2786.6	3849.1	3278.6	3949.7
"245952_at"	808.4	744	747.9	644.1	532.4	756.6	669.3	518.7	716.6	449.7	533.6	457.7
"245953_at"	89.9	27.5	72.3	126.4	22.7	73.7	3501.6	1541.4	2436.5	3181.8	2883	1928.7
"245954_at"	119.5	98.4	116.9	126.1	84.7	100.6	140.5	92.6	113.3	87.8	86.5	87.9
"245955_at"	99.5	38.5	42.5	71.1	46.4	26.3	1037.4	366.9	513.8	973.9	711.6	426
"245956_s_at"	8496.4	6785	7326.7	6985.1	6926.4	6903.1	5982.7	4965.5	6992.6	7339.3	6475.7	6403
"245957_at"	2143.3	1714	1680.6	1863.9	1722.4	1747.8	1947.8	1466.8	1744.7	1711.9	1745.7	1696.6
