Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At5g15190		0.3466753214970451	0
At5g14300		0.3396728599089489	0
At5g13980		0.3221189528769422	0
At5g13880		0.23443144803569194	0
At5g13960		0.2964601257489244	0.8301123564335251
At5g14210		0.2727873036664873	0
At5g14220		0.22604337927950635	0
At5g13910		0.3336866118016684	0
At5g13580		0.36196233737617806	0
At5g13720		0.2783923134541356	0
At5g12970		0.3931183894694078	0
At5g13290		0.41155620646881047	0
At5g12020		0.36326373912685256	0
At5g11980		0.22451619954086033	0
At5g11680		0.21980899795770847	0
At5g11720		0.3180155994489944	0
At5g11960		0.2418673440675395	0
At5g10880		0.40172171243371724	0
At5g11000		0.444291933558807	0.7472592778159961
At5g10420		0.29376318935735596	0
At5g10540		0.39743484470430956	0.8585632284246157
At5g09700		0.01969399299058671	0.6840507559805152
At5g09770		0.19317275708844872	0
At5g08570		0.38421387801060103	0
At5g08560		0.36360365113537024	0
At5g08210		0.38516887801482436	0
At5g07910		0.14527436507277286	0
At5g07440		0.385184310730344	0
At5g07410		0.4034633046652438	0
At5g07110		0.2714346424129357	0
At5g06520		0.11651277426756286	0
At5g06610		0.2511830096970875	0
At5g06830		0.3559105972516495	0
At5g06000		0.31499814908165524	0
At5g05660		0.13458850626921778	0.6898967982863236
At5g05460		0.27378892218668593	0
At5g05490		0.34196087796643543	0
At5g05270		0.34220685472985074	0
At5g05150		0.2958408809598631	0
At5g05170		0.39785226115038397	0
At5g04430		0.15538612217900183	0
At5g04460		0.27923202125812174	0
At5g03720		0.40282869060757337	0
At5g03740		0.13261344046821316	0
At5g03120		0.42870540657337886	0
At5g03350		0.26186347099695667	0
At5g02800		0.21187465194568678	0
At5g02610		0.3396808239460452	0
At5g02180		0.3531128782927393	0
At5g01860		0.25909461440656945	0
At5g01750		0.3382385221900598	0
At5g01590		0.06761280701198738	0
At3g63290		0.023890909184144004	0.8920111626133341
At3g63330		0.4305582664103299	0
At3g62820		0.1348126889657332	0
At3g62560		0.33320785671935904	0
At3g62740		0.3587291772971359	0
At3g62170		0.3972460371771624	0
At3g62330		0.2954776324059702	0
At3g61700		0.39278253771492483	0
At3g61610		0.2199668868603042	0
At3g61460		0.24160015561864817	0
At3g60920		0.36290651550586084	0
At3g59570		0.43149212500694634	0
At3g59700		0.38380180240099704	0
At3g59740		0.414559791384753	0
At3g59460		0.0010285361804345174	0
At3g59410		0.3862107032169292	0
At3g59430		0.08043632623285815	0
At3g58530		0.29588515490736317	0
At3g58280		0.39088670357513366	0
At3g57470		0.40472515868415726	0
At3g56940		0.3943263446651873	0
At3g57320		0.4281205820851356	0
At3g57030		0.3533659639163372	0
At3g56360		0.2988550864254865	0
At3g56620		0.3853367555298015	0
At3g56960		0.3000823494509258	0
At3g55870		0.3529815800567011	0.7027661585770155
At3g56310		0.16790871331918766	0
At3g55890		0.40855017234653646	0
At3g55830		0.3004080843454313	0
At3g56000		0.36190950147000717	0
At3g55280		0.2702973318562981	0
At3g55510		0.26221724066386465	0.6283908941205605
At3g55250		0.3951200836537183	0
At3g54630		0.30278634601338744	0
At3g54820		0.3756403760243289	0
At3g54660		0.14455451662814633	0
At3g54810		0.3185576896530291	0
At3g54300		0.3977846088683228	0
At3g54250		0.4287078574864533	0
At3g54210		0.4026881284498649	0
At3g54220		0.3673015997223752	0
At3g53840		0.42504732983766413	0
At3g53990		0.38975185337246077	0
At3g54060		0.19180457785123728	0
At3g53200		0.4008690536900966	0
At3g52940		0.04059730599733391	0
At3g52810		0.3905464493906286	0
At3g52730		0.2871087182084465	0
At3g52870		0.42595459258907764	0
At3g52850		0.3953613919183047	0
At3g52390		0.03502188159613594	0
At3g52600		0.43043383976931227	0
At3g52480		0.32387705910629666	0
At3g51970		0.4258732466811357	0
At3g51000		0.3569324821293088	0
At3g51180		0.33077218533141073	0
